Time,DestinationLat,DestinationLong
118735.631472,45.691518,9.676253
115704.449888,45.691518,9.676253
140739.479362,45.696354,9.696794
117716.741630,45.691518,9.676253
146441.286362,45.694356,9.669417
116197.560973,45.691518,9.676253
116139.784155,45.691518,9.676253
141753.605608,45.690803,9.649258
199851.251636,45.684364,9.639519
145789.638536,45.694356,9.669417
116536.172792,45.691518,9.676253
118184.414366,45.691518,9.676253
148918.441533,45.694356,9.669417
198480.533832,45.684364,9.639519
116883.213364,45.691518,9.676253
165693.292285,45.698235,9.698666
199891.259606,45.684364,9.639519
267892.803010,45.709309,9.680858
146480.187841,45.694356,9.669417
115087.096268,45.691518,9.676253
268796.716653,45.709309,9.680858
266544.965917,45.709309,9.680858
181100.137589,45.696308,9.656753
116215.577650,45.691518,9.676253
267043.412630,45.709309,9.680858
115631.174181,45.691518,9.676253
116646.451226,45.691518,9.676253
116147.839096,45.691518,9.676253
380786.350472,45.703495,9.664042
175033.480587,45.696253,9.697863
145726.282298,45.694356,9.669417
199103.700982,45.684364,9.639519
146796.775913,45.694356,9.669417
200653.684951,45.684364,9.639519
227069.530439,45.701862,9.642845
198044.164172,45.684364,9.639519
200061.786011,45.684364,9.639519
271826.056732,45.709309,9.680858
148097.824448,45.694356,9.669417
382049.595370,45.703495,9.664042
267911.029194,45.709309,9.680858
379391.200622,45.703495,9.664042
382577.499300,45.703495,9.664042
382593.674453,45.703495,9.664042
266361.672795,45.709309,9.680858
197822.708538,45.684364,9.639519
182806.281489,45.685898,9.632518
145735.190974,45.694356,9.669417
172497.248543,45.694747,9.648868
117279.361339,45.691518,9.676253
144126.503449,45.695699,9.690528
196353.251120,45.684364,9.639519
118294.029312,45.691518,9.676253
268817.330451,45.709309,9.680858
385316.962856,45.703495,9.664042
199742.766114,45.684364,9.639519
189915.970309,45.681740,9.643657
266201.936468,45.709309,9.680858
270880.403609,45.709309,9.680858
273254.057912,45.709309,9.680858
