Time,DestinationLat,DestinationLong
54623.306800,45.679243,9.666320
83399.088818,45.674093,9.666608
117847.414747,45.691518,9.676253
121484.714743,45.691518,9.676253
150921.399047,45.694356,9.669417
117295.497185,45.691518,9.676253
116282.717176,45.691518,9.676253
152015.454301,45.694356,9.669417
147350.210326,45.694356,9.669417
76180.989621,45.678244,9.657222
197952.131798,45.684364,9.639519
146407.849360,45.694356,9.669417
149389.617829,45.694356,9.669417
200937.354496,45.684364,9.639519
197059.050387,45.700150,9.661943
146139.974042,45.694356,9.669417
211029.491352,45.698782,9.695325
146429.079170,45.694356,9.669417
146547.194208,45.694356,9.669417
123111.547343,45.691518,9.676253
199408.309133,45.684364,9.639519
267158.933063,45.709309,9.680858
142112.601786,45.694863,9.686529
267853.005960,45.709309,9.680858
70870.172589,45.680711,9.674942
116722.970893,45.691518,9.676253
139822.745305,45.681516,9.655401
147258.583717,45.694356,9.669417
148585.496578,45.694356,9.669417
148107.175996,45.694356,9.669417
144867.623861,45.694356,9.669417
204870.781830,45.699920,9.644560
70170.417337,45.682301,9.682190
115106.586670,45.691518,9.676253
267895.035392,45.709309,9.680858
267990.859235,45.709309,9.680858
202645.510403,45.684364,9.639519
117228.062939,45.691518,9.676253
143584.329505,45.677633,9.639112
119896.429135,45.691518,9.676253
148439.584028,45.694356,9.669417
145939.960389,45.694356,9.669417
144969.780931,45.694356,9.669417
194143.369971,45.700139,9.659583
268514.697484,45.709309,9.680858
147166.328927,45.694356,9.669417
91541.408418,45.684212,9.662276
145512.980748,45.694356,9.669417
136130.698883,45.681179,9.652968
144225.262621,45.694356,9.669417
116725.306623,45.691518,9.676253
270383.927961,45.709309,9.680858
196592.756935,45.684364,9.639519
196962.008845,45.684364,9.639519
199303.362311,45.684364,9.639519
146094.506136,45.694356,9.669417
150754.334418,45.694356,9.669417
119370.900173,45.691518,9.676253
267357.250930,45.709309,9.680858
388096.044567,45.703495,9.664042
145548.689254,45.694356,9.669417
202402.960492,45.684364,9.639519
271544.728241,45.709309,9.680858
146901.258067,45.694356,9.669417
146365.185698,45.694356,9.669417
266128.956803,45.709309,9.680858
380776.784041,45.703495,9.664042
118767.191861,45.691518,9.676253
115988.820775,45.691518,9.676253
198884.480122,45.684364,9.639519
245756.675126,45.714926,9.691968
148473.008327,45.694356,9.669417
380517.593404,45.703495,9.664042
115691.438548,45.691518,9.676253
115053.532481,45.691518,9.676253
354846.732757,45.707894,9.663291
198511.368233,45.684364,9.639519
176875.611315,45.696389,9.679296
117984.815020,45.691518,9.676253
269981.744228,45.709309,9.680858
120290.659737,45.691518,9.676253
118028.248368,45.691518,9.676253
116008.780552,45.691518,9.676253
151264.425622,45.694023,9.663265
384887.242068,45.703495,9.664042
152264.069310,45.694356,9.669417
196543.157278,45.698009,9.683626
196761.427220,45.684364,9.639519
267187.770685,45.709309,9.680858
148111.181941,45.694356,9.669417
118590.381798,45.691518,9.676253
197157.681787,45.684364,9.639519
199790.162226,45.684364,9.639519
244897.065844,45.713718,9.696000
118033.043436,45.691518,9.676253
383601.965443,45.703495,9.664042
81425.173955,45.682647,9.685740
167353.539911,45.693416,9.647341
118730.374619,45.691518,9.676253
146413.424770,45.694356,9.669417
147916.521032,45.694356,9.669417
381314.259466,45.703495,9.664042
115436.545561,45.691518,9.676253
196641.383621,45.684364,9.639519
266064.374692,45.709309,9.680858
268445.083074,45.709309,9.680858
200221.896490,45.684364,9.639519
380183.036987,45.703495,9.664042
201256.677602,45.684364,9.639519
145915.169087,45.694356,9.669417
381012.666879,45.703495,9.664042
115316.108621,45.691518,9.676253
383233.500825,45.703495,9.664042
379759.049070,45.703495,9.664042
383458.345163,45.703495,9.664042
266535.409009,45.709309,9.680858
403579.040739,45.704100,9.665903
